username,repo_name,stars,repo_url
Genymobile,scrcpy,80800,https://github.com/Genymobile/scrcpy
neovim,neovim,64599,https://github.com/neovim/neovim
obsproject,obs-studio,46800,https://github.com/obsproject/obs-studio
git,git,45900,https://github.com/git/git
fffaraz,awesome-cpp,45300,https://github.com/fffaraz/awesome-cpp
FFmpeg,FFmpeg,35400,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,34900,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,30000,https://github.com/vim/vim
curl,curl,29200,https://github.com/curl/curl
huihut,interview,28500,https://github.com/huihut/interview
ggreer,the_silver_searcher,24800,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,22500,https://github.com/pbatard/rufus
mpv-player,mpv,22000,https://github.com/mpv-player/mpv
ossrs,srs,21200,https://github.com/ossrs/srs
google,flatbuffers,20200,https://github.com/google/flatbuffers
ruby,ruby,20200,https://github.com/ruby/ruby
oracle,graal,18400,https://github.com/oracle/graal
microsoft,vcpkg,18300,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,18300,https://github.com/kovidgoyal/kitty
radareorg,radare2,17900,https://github.com/radareorg/radare2
